frame.number,frame.time_relative,usb.src,usb.dst,usb.endpoint_address,usb.transfer_type,usbhid.data
367,42.888651000,1.2.1,host,0x81,0x01,00343d6578223a20302c226e6f64654964223a2022707265736574227d2c226f7574707574223a207b22696e646578223a20302c226e6f64654964223a202273
368,42.888684000,host,1.2.1,0x81,0x01,
369,42.889767000,1.2.1,host,0x81,0x01,00343d746f6d70227d7d2c7b22696e707574223a207b22696e646578223a20312c226e6f64654964223a2022707265736574227d2c226f7574707574223a207b
370,42.889798000,host,1.2.1,0x81,0x01,
371,42.890898000,1.2.1,host,0x81,0x01,00343d22696e646578223a20312c226e6f64654964223a202273746f6d70227d7d2c7b22696e707574223a207b22696e646578223a20302c226e6f6465496422
372,42.890929000,host,1.2.1,0x81,0x01,
373,42.892028000,1.2.1,host,0x81,0x01,00343d3a202273746f6d70227d2c226f7574707574223a207b22696e646578223a20302c226e6f64654964223a20226d6f64227d7d2c7b22696e707574223a20
374,42.892060000,host,1.2.1,0x81,0x01,
375,42.895005000,1.2.1,host,0x81,0x01,00343d7b22696e646578223a20312c226e6f64654964223a202273746f6d70227d2c226f7574707574223a207b22696e646578223a20312c226e6f6465496422
376,42.895080000,host,1.2.1,0x81,0x01,
377,42.897023000,1.2.1,host,0x81,0x01,00343d3a20226d6f64227d7d2c7b22696e707574223a207b22696e646578223a20302c226e6f64654964223a20226d6f64227d2c226f7574707574223a207b22
378,42.897076000,host,1.2.1,0x81,0x01,
379,42.898179000,1.2.1,host,0x81,0x01,00343d696e646578223a20302c226e6f64654964223a2022616d70227d7d2c7b22696e707574223a207b22696e646578223a20312c226e6f64654964223a2022
380,42.898205000,host,1.2.1,0x81,0x01,
381,42.899393000,1.2.1,host,0x81,0x01,00343d6d6f64227d2c226f7574707574223a207b22696e646578223a20312c226e6f64654964223a2022616d70227d7d2c7b22696e707574223a207b22696e64
382,42.899415000,host,1.2.1,0x81,0x01,
383,42.901772000,1.2.1,host,0x81,0x01,00343d6578223a20302c226e6f64654964223a2022616d70227d2c226f7574707574223a207b22696e646578223a20302c226e6f64654964223a202264656c61
384,42.901824000,host,1.2.1,0x81,0x01,
385,42.904244000,1.2.1,host,0x81,0x01,00343d79227d7d2c7b22696e707574223a207b22696e646578223a20312c226e6f64654964223a2022616d70227d2c226f7574707574223a207b22696e646578
386,42.904267000,host,1.2.1,0x81,0x01,
387,42.906703000,1.2.1,host,0x81,0x01,00343d223a20312c226e6f64654964223a202264656c6179227d7d2c7b22696e707574223a207b22696e646578223a20302c226e6f64654964223a202264656c
388,42.906743000,host,1.2.1,0x81,0x01,
389,42.907871000,1.2.1,host,0x81,0x01,00343d6179227d2c226f7574707574223a207b22696e646578223a20302c226e6f64654964223a2022726576657262227d7d2c7b22696e707574223a207b2269
390,42.907906000,host,1.2.1,0x81,0x01,
391,42.909090000,1.2.1,host,0x81,0x01,00343d6e646578223a20312c226e6f64654964223a202264656c6179227d2c226f7574707574223a207b22696e646578223a20312c226e6f64654964223a2022
392,42.910084000,host,1.2.1,0x81,0x01,
393,42.910183000,1.2.1,host,0x81,0x01,00343d726576657262227d7d2c7b22696e707574223a207b22696e646578223a20302c226e6f64654964223a2022726576657262227d2c226f7574707574223a
394,42.910192000,host,1.2.1,0x81,0x01,
395,42.912334000,1.2.1,host,0x81,0x01,00343d207b22696e646578223a20302c226e6f64654964223a2022707265736574227d7d2c7b22696e707574223a207b22696e646578223a20312c226e6f6465
396,42.912374000,host,1.2.1,0x81,0x01,
397,42.913479000,1.2.1,host,0x81,0x01,00343d4964223a2022726576657262227d2c226f7574707574223a207b22696e646578223a20312c226e6f64654964223a2022707265736574227d7d5d2c226e
398,42.913533000,host,1.2.1,0x81,0x01,
399,42.915525000,1.2.1,host,0x81,0x01,00343d6f646573223a205b7b22647370556e6974506172616d6574657273223a207b7d2c2246656e6465724964223a2022445542535f5061737374687275222c
400,42.915548000,host,1.2.1,0x81,0x01,
401,42.917833000,1.2.1,host,0x81,0x01,00343d226e6f646554797065223a2022647370556e6974222c226e6f64654964223a202273746f6d70227d2c7b22647370556e6974506172616d657465727322
402,42.917852000,host,1.2.1,0x81,0x01,
403,42.920298000,1.2.1,host,0x81,0x01,00343d3a207b7d2c2246656e6465724964223a2022445542535f5061737374687275222c226e6f646554797065223a2022647370556e6974222c226e6f646549
404,42.920331000,host,1.2.1,0x81,0x01,
405,42.921350000,1.2.1,host,0x81,0x01,00343d64223a20226d6f64227d2c7b22647370556e6974506172616d6574657273223a207b2263616273696d54797065223a20223478313267222c2270726573
406,42.921369000,host,1.2.1,0x81,0x01,
407,42.922499000,1.2.1,host,0x81,0x01,00343d656e6365223a20302e352c2274726562223a20312c22736167223a20226d61746368222c226d6964223a202d342e3430303132352c22766f6c756d6522
408,42.922518000,host,1.2.1,0x81,0x01,
409,42.923633000,1.2.1,host,0x81,0x01,00343d3a202d362e3530363832342c22676174654465746563746f72506f736974696f6e223a20226a61636b222c2262696173223a20302e352c226761696e22
410,42.923652000,host,1.2.1,0x81,0x01,
411,42.924759000,1.2.1,host,0x81,0x01,00343d3a20302e3736363636372c2267617465507265736574223a20226c6f77222c22626c656e64223a20302e352c2262617373223a20302e3436363636377d
412,42.924778000,host,1.2.1,0x81,0x01,
